,variable,r_sqr,intercept,slope,p_value
1,sqft_basement,0.08771169982702742,430111.03199917777,170.85174519628364,0.0
2,sqft_living,0.352785096014976,103590.00898832137,197.00265380937074,0.0
3,sqft_living15,0.2720074574049425,78727.1069753686,213.88141960411303,0.0
4,sqft_lot,1.919700452956974e-05,476928.61470232473,-0.2800950783326556,0.5565502298388127
